STATE,FIPSTATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRUC,CVLLBRFR,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
CA,6,71,1,0,16,73678,328500,22314,33931,0,1,18445,264821,0,95257,12236,12189,13149,99.3388745,46755,50128,21892142,10803,24414,34186,0,35909,1,1,7050,0,53.0287883,579590,,9013,13525,10173,16375,25.4,223333,0,2856770,54203
CA,6,71,2,0,16,89325,328500,8410,29098,0,0,19020,241522,0,94322,10952,7942,12645,99.3388745,25719,42759,21892142,28414,22524,24376,0,29646,1,1,3581,1,20.1740691,574542,,8452,12293,8040,18987,25.4,185449,0,2856770,48240
CA,6,71,3,0,16,62802,328500,18530,31865,1,0,19581,278111,0,94606,14602,13103,15796,99.3388745,58867,61282,21892142,7655,21144,23347,0,35293,1,1,4254,0,74.6629654,571714,,14034,27035,11269,17972,25.4,363204,0,2856770,55878
CA,6,71,4,0,16,68906,328500,9538,28055,0,0,28200,277140,0,91692,5144,10341,21264,99.3388745,29630,49018,21892142,10807,22112,25592,0,40604,0,0,1067,0,52.8386231,571340,,3828,16565,9167,13102,25.4,224927,0,2856770,56799
CA,6,71,5,0,16,65194,328500,73429,27190,1,0,16196,278768,0,88064,4031,12293,19625,99.3388745,73035,75317,21892142,150,21639,19927,0,35336,1,0,1566,0,3824.39333,573659,,12,41385,10249,17155,25.4,570923,0,2856770,52775
CA,6,71,6,0,16,74726,328500,13279,26062,0,1,23820,308961,0,71574,7335,6525,30886,99.3388745,61374,39133,21892142,1591,22620,30127,0,47395,0,0,2735,0,359.12005,571449,,5232,9988,11098,11759,25.4,392810,0,2856770,61612
CA,6,71,7,0,16,58806,328500,95228,30372,0,0,20386,293836,0,87076,3918,18737,26877,99.3388745,93213,52991,21892142,348,23897,32973,1,43274,3,1,6141,0,1646.14081,572857,,0,10357,15332,16843,25.4,571018,0,2856770,56550
CA,6,71,8,0,16,78265,328500,73442,29165,1,0,13209,329403,0,53524,1578,12009,33060,99.3388745,193299,40174,21892142,34,18446,29558,0,36960,2,1,4601,0,16858.5882,573192,,0,9719,17742,20019,25.4,573192,0,2856770,65324
CA,6,71,9,0,16,68177,328500,182452,25888,1,0,12826,289473,0,71127,2860,14526,20613,99.3388745,110014,56840,21892142,72,23397,26175,0,36561,5,2,11002,0,7967.625,573669,,0,18917,14539,19809,25.4,573669,0,2856770,47100
CA,6,71,10,0,16,59873,328500,12917,22611,1,0,23391,313157,0,83853,3320,9931,33125,99.3388745,54331,39707,21892142,1023,19955,38405,0,60079,0,0,943,0,559.119257,571979,,1065,9821,12133,10953,25.4,549252,61,2856770,63941
CA,6,71,11,0,16,61404,328500,32885,38168,1,0,18808,261968,0,103733,13403,10640,16348,99.3388745,86297,45234,21892142,1826,22157,31694,0,35700,4,1,3519,0,313.061336,571650,,11843,12437,12088,19686,25.4,381903,0,2856770,50957
CA,6,71,12,0,16,79171,328500,22766,27843,1,1,16706,323495,0,62253,2698,11402,33312,99.3388745,170401,44353,21892142,107,23332,30255,0,51727,0,0,627,0,5342.68224,571667,,0,9619,25764,12532,25.4,571620,0,2856770,67610
CA,6,71,13,0,16,53092,328500,42060,42257,1,0,16973,314374,0,85737,2733,10178,19910,99.3388745,123353,36521,21892142,239,19389,72466,0,48651,0,0,1412,0,2394.69875,572333,,0,6954,19707,14691,25.4,571615,0,2856770,66127
CA,6,71,14,0,16,64756,328500,27980,21547,1,1,14208,332677,0,62660,4973,7933,19251,99.3388745,118353,28980,21892142,477,16870,85226,0,59492,2,2,4058,0,1197.18658,571058,,239,4177,9863,11251,25.4,562365,1371,2856770,55752
CA,6,71,15,0,16,54148,328500,12273,25931,1,1,18095,336280,0,73847,2743,5002,20560,99.3388745,85760,33943,21892142,452,22761,92775,0,57300,0,0,721,0,1266.28319,572360,,521,6180,9603,11866,25.4,549185,0,2856770,62424
CA,6,71,16,0,16,39768,328500,29545,44852,1,0,18222,298455,0,101394,6504,6343,11748,99.3388745,173544,32224,21892142,946,19238,88709,0,45688,0,0,695,0,604.080338,571460,,1835,6643,10554,18597,25.4,516861,0,2856770,52640
CA,6,71,17,0,16,59816,328500,24991,30290,0,1,17003,274605,0,92546,25001,10283,14336,99.3388745,112377,42859,21892142,4886,22125,28436,0,37401,4,2,22315,0,116.88027,571077,,5687,10451,7374,18759,25.4,424528,0,2856770,54779
CA,6,71,18,0,16,58580,328500,16007,39496,0,0,17354,250269,0,114012,20664,4815,11634,99.3388745,93086,33139,21892142,4138,21904,36926,0,31574,1,1,4592,0,138.075882,571358,,23357,6420,8722,23697,25.4,295716,0,2856770,46733
CA,6,71,19,0,16,63916,328500,18724,29058,1,0,16125,267363,0,108281,13074,10333,18353,99.3388745,68795,49110,21892142,7642,27511,23483,0,33041,0,0,672,0,74.9904475,573343,,11598,11266,9812,17712,25.4,391289,168,2856770,53640
CA,6,71,20,0,16,49611,328500,36656,32447,1,0,9210,224242,0,133213,46770,5588,5005,99.3388745,145620,28902,21892142,6857,16336,18259,0,22472,1,1,4893,0,83.6451801,573874,,23187,6978,6876,33350,25.4,149984,0,2856770,35097
CA,6,71,21,0,16,61313,328500,22676,30894,0,0,17900,254789,0,107652,12493,12401,11708,99.3388745,50333,48947,21892142,8916,26525,21092,0,33174,2,1,3923,0,64.05821,571946,,4436,10021,9679,17612,25.4,298113,0,2856770,51401
CA,6,71,22,0,16,74192,328500,15778,26631,0,1,20515,285521,0,78646,15529,6979,16836,99.3388745,76241,48077,21892142,6037,21201,30439,0,39631,1,1,4193,0,94.9074043,573273,,5085,19897,6957,13990,25.4,365081,0,2856770,56427
CA,6,71,23,0,16,54113,328500,14423,35195,0,1,22480,297601,0,95543,15986,13300,20981,99.3388745,101788,44203,21892142,1782,23007,46296,0,47019,2,0,5397,0,320.741863,571562,,4194,7896,7910,13361,25.4,481126,0,2856770,55425
CA,6,71,24,0,16,63493,328500,11384,22166,1,1,19100,334603,0,65519,3448,4268,37636,99.3388745,128512,27168,21892142,303,17755,48276,0,57375,0,0,328,0,1888.73597,572287,42049893,344,5145,8463,13976,25.4,556006,0,2856770,65325
CA,6,71,25,0,16,43152,328500,25864,26610,1,0,22140,299582,0,86998,3167,8839,24747,99.3388745,88482,39505,21892142,2057,23696,53929,0,51207,0,0,851,0,278.652893,573189,42049893,810,6970,9213,14237,25.4,506718,909,2856770,57774
CA,6,71,26,0,16,44779,328500,35106,56456,1,0,21870,302105,0,100425,5824,5046,19994,99.3388745,241108,24780,21892142,69,15159,64334,0,34273,0,0,303,0,8283.15942,571538,42049893,0,4575,9459,22638,25.4,571538,0,2856770,55426
CA,6,71,27,0,16,74115,328500,46921,25090,1,0,16397,306541,0,72034,3437,5473,32162,99.3388745,174543,34313,21892142,307,23208,39812,0,45016,0,0,276,0,1865.24104,572629,42049893,0,5632,8897,16222,25.4,571947,0,2856770,51699
CA,6,71,28,0,16,62595,328500,32621,30624,0,0,18321,299246,0,88576,2862,5366,26669,99.3388745,119777,39516,21892142,464,26146,48972,0,49369,0,0,480,0,1233.16595,572189,,0,8004,11386,13358,25.4,571426,0,2856770,59301
CA,6,71,29,0,16,91269,328500,19825,15678,1,1,10162,341150,0,37002,1839,3623,34065,99.3388745,175290,30645,21892142,117,14762,28757,0,55001,0,0,117,0,4883.64103,571386,42049893,0,12260,8247,18454,25.4,571386,0,2856770,59150
CA,6,71,30,0,16,45691,328500,19738,54562,1,0,16708,290735,0,107275,2953,3682,18649,99.3388745,335060,23983,21892142,37,15946,51839,0,24390,0,0,175,0,15475.7838,572604,42049893,0,4355,9454,27538,25.4,572604,0,2856770,59265
CA,6,71,31,0,16,51177,328500,9398,56388,1,0,15774,265665,0,111141,4359,4450,17294,99.3388745,259120,29764,21892142,75,19451,60181,0,31858,0,0,226,0,7636.77333,572758,42049893,0,5863,10569,20376,25.4,572735,0,2856770,56064
CA,6,71,32,0,16,65453,328500,231149,35975,1,0,12352,294698,0,84158,3825,7608,20605,99.3388745,172086,41969,21892142,47,24235,38521,0,31990,0,0,370,0,12183.617,572630,42049893,0,10126,13321,24063,25.4,572630,0,2856770,49698
CA,6,71,33,0,16,36912,328500,24583,83517,1,0,13610,252675,0,133691,3015,2363,7444,99.3388745,319853,16688,21892142,47,11217,79142,0,22018,0,0,129,0,12146.6596,570893,42049893,0,3108,9108,29042,25.4,570893,0,2856770,49248
CA,6,71,34,0,16,50565,328500,11212,55415,0,0,15405,275183,0,108462,3167,4797,14915,99.3388745,178321,31127,21892142,90,20075,65259,0,38395,0,0,361,0,6371.73333,573456,,0,6255,13773,18726,25.4,573456,0,2856770,58985
CA,6,71,35,0,16,41810,328500,243818,51943,1,0,12268,262143,0,113832,3911,9235,12028,99.3388745,187141,36209,21892142,43,21579,58199,0,26853,0,0,610,0,13272.0233,570697,42049893,0,5395,17325,27854,25.4,570697,0,2856770,43269
CA,6,71,36,0,16,59434,328500,17844,23059,1,1,16237,341509,0,63242,2955,6245,27199,99.3388745,111465,33735,21892142,231,21829,71112,0,56567,1,1,2875,0,2483.39827,573665,42049893,0,5661,20054,13235,25.4,570181,0,2856770,63857
